                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.50149,                0.42534,                0.86037,                0.94865,                0.88722,                0.94827,                0.80243,                0.71927,                0.53966,                 0.9288,             0.00020698,             0.00020698,             0.00020698
                    110,                0.50133,                0.46753,                0.90718,                0.94711,                0.88295,                0.94716,                0.80068,                0.73595,                0.56644,                0.93864,             0.00020345,             0.00020345,             0.00020345
                    111,                0.47159,                0.43415,                 0.8928,                0.94711,                0.88295,                0.94716,                0.80068,                0.73595,                0.56644,                0.93864,             0.00019992,             0.00019992,             0.00019992
                    112,                 0.5657,                0.50362,                0.92307,                0.95259,                0.87616,                0.97638,                0.81388,                0.73236,                0.56749,                0.93448,             0.00019639,             0.00019639,             0.00019639
                    113,                0.47255,                0.46718,                0.88296,                0.95259,                0.87616,                0.97638,                0.81388,                0.73236,                0.56749,                0.93448,             0.00019286,             0.00019286,             0.00019286
                    114,                0.48508,                0.44665,                   0.89,                0.83335,                0.97793,                  0.995,                0.82906,                0.71506,                0.55541,                 0.9243,             0.00018934,             0.00018934,             0.00018934
                    115,                0.52975,                0.48671,                0.95248,                0.83335,                0.97793,                  0.995,                0.82906,                0.71506,                0.55541,                 0.9243,             0.00018581,             0.00018581,             0.00018581
                    116,                0.46979,                0.45374,                0.85062,                0.86703,                0.96976,                  0.995,                0.83705,                 0.6911,                0.53966,                0.90448,             0.00018228,             0.00018228,             0.00018228
                    117,                 0.5127,                0.46318,                0.90068,                0.86703,                0.96976,                  0.995,                0.83705,                 0.6911,                0.53966,                0.90448,             0.00017875,             0.00017875,             0.00017875
                    118,                0.51251,                0.48528,                0.88737,                0.88395,                0.97145,                  0.995,                0.84451,                0.68268,                0.52509,                0.89249,             0.00017522,             0.00017522,             0.00017522
                    119,                 0.4853,                0.46171,                0.89816,                0.88395,                0.97145,                  0.995,                0.84451,                0.68268,                0.52509,                0.89249,              0.0001717,              0.0001717,              0.0001717
                    120,                0.49979,                0.40177,                0.85411,                0.92167,                0.95324,                  0.995,                0.84619,                0.68797,                0.51492,                0.88894,             0.00016817,             0.00016817,             0.00016817
                    121,                0.43715,                0.40239,                0.86701,                0.92167,                0.95324,                  0.995,                0.84619,                0.68797,                0.51492,                0.88894,             0.00016464,             0.00016464,             0.00016464
                    122,                0.47714,                 0.4176,                0.87454,                0.92915,                0.95655,                  0.995,                0.85175,                0.70193,                0.49836,                0.89542,             0.00016111,             0.00016111,             0.00016111
                    123,                0.42392,                0.40209,                0.86123,                0.92915,                0.95655,                  0.995,                0.85175,                0.70193,                0.49836,                0.89542,             0.00015758,             0.00015758,             0.00015758
                    124,                0.46374,                0.41118,                 0.8754,                0.92673,                0.95922,                  0.995,                0.84589,                0.70451,                0.48799,                0.90152,             0.00015406,             0.00015406,             0.00015406
                    125,                 0.5584,                0.48743,                0.95936,                0.92673,                0.95922,                  0.995,                0.84589,                0.70451,                0.48799,                0.90152,             0.00015053,             0.00015053,             0.00015053
                    126,                0.45643,                0.38517,                0.88483,                0.91651,                0.96119,                  0.995,                0.85674,                0.69302,                0.48134,                0.89816,               0.000147,               0.000147,               0.000147
                    127,                0.50613,                0.44273,                0.88531,                0.91651,                0.96119,                  0.995,                0.85674,                0.69302,                0.48134,                0.89816,             0.00014347,             0.00014347,             0.00014347
                    128,                0.48335,                0.41701,                0.87507,                0.91063,                0.95892,                  0.995,                0.85162,                0.68435,                 0.4752,                0.89289,             0.00013994,             0.00013994,             0.00013994
                    129,                0.44516,                0.41205,                0.85685,                0.91063,                0.95892,                  0.995,                0.85162,                0.68435,                 0.4752,                0.89289,             0.00013642,             0.00013642,             0.00013642
                    130,                0.45916,                0.40041,                  0.892,                0.89639,                0.96869,                  0.995,                0.85221,                0.67727,                0.46739,                0.88608,             0.00013289,             0.00013289,             0.00013289
                    131,                0.41221,                0.37088,                0.84924,                0.89639,                0.96869,                  0.995,                0.85221,                0.67727,                0.46739,                0.88608,             0.00012936,             0.00012936,             0.00012936
                    132,                0.40622,                0.36621,                0.82771,                0.88571,                0.97767,                  0.995,                 0.8523,                0.67029,                0.46053,                 0.8811,             0.00012583,             0.00012583,             0.00012583
                    133,                0.39242,                0.34668,                0.83458,                0.88571,                0.97767,                  0.995,                 0.8523,                0.67029,                0.46053,                 0.8811,              0.0001223,              0.0001223,              0.0001223
                    134,                0.45559,                0.39922,                0.84613,                0.86632,                0.97828,                  0.995,                0.84539,                0.67243,                0.45695,                0.88049,             0.00011878,             0.00011878,             0.00011878
                    135,                0.44347,                0.36871,                0.87831,                0.86632,                0.97828,                  0.995,                0.84539,                0.67243,                0.45695,                0.88049,             0.00011525,             0.00011525,             0.00011525
                    136,                0.47815,                0.42142,                0.90367,                0.86407,                0.97436,                0.98865,                0.84283,                0.67708,                0.45836,                0.88243,             0.00011172,             0.00011172,             0.00011172
                    137,                0.42058,                0.36696,                0.88666,                0.86407,                0.97436,                0.98865,                0.84283,                0.67708,                0.45836,                0.88243,             0.00010819,             0.00010819,             0.00010819
                    138,                0.44724,                0.36535,                0.83136,                0.85922,                0.97187,                0.98865,                0.83799,                 0.6834,                0.45944,                0.88537,             0.00010466,             0.00010466,             0.00010466
                    139,                0.39521,                0.36289,                 0.8534,                0.85922,                0.97187,                0.98865,                0.83799,                 0.6834,                0.45944,                0.88537,             0.00010114,             0.00010114,             0.00010114
                    140,                0.37788,                0.35021,                0.89354,                0.86389,                0.97333,                0.98865,                0.83931,                 0.6842,                0.45621,                0.88619,             9.7608e-05,             9.7608e-05,             9.7608e-05
                    141,                0.54295,                0.65679,                 0.8998,                0.86389,                0.97333,                0.98865,                0.83931,                 0.6842,                0.45621,                0.88619,              9.408e-05,              9.408e-05,              9.408e-05
                    142,                0.48477,                0.51952,                0.85512,                0.87863,                0.97878,                  0.995,                 0.8483,                0.68068,                0.44587,                0.88427,             9.0552e-05,             9.0552e-05,             9.0552e-05
                    143,                0.47798,                0.46833,                0.87686,                0.87863,                0.97878,                  0.995,                 0.8483,                0.68068,                0.44587,                0.88427,             8.7024e-05,             8.7024e-05,             8.7024e-05
                    144,                0.42627,                 0.4423,                0.84739,                0.90598,                0.97827,                  0.995,                0.85291,                0.67431,                0.43531,                0.88098,             8.3496e-05,             8.3496e-05,             8.3496e-05
                    145,                0.41384,                0.39559,                0.85606,                0.90598,                0.97827,                  0.995,                0.85291,                0.67431,                0.43531,                0.88098,             7.9968e-05,             7.9968e-05,             7.9968e-05
                    146,                0.42926,                0.42173,                0.86174,                0.93214,                0.96888,                  0.995,                0.85146,                0.66934,                0.42445,                0.87645,              7.644e-05,              7.644e-05,              7.644e-05
                    147,                0.43309,                 0.3922,                0.84713,                0.93214,                0.96888,                  0.995,                0.85146,                0.66934,                0.42445,                0.87645,             7.2912e-05,             7.2912e-05,             7.2912e-05
                    148,                0.47219,                0.45934,                0.85436,                0.93343,                0.96749,                  0.995,                0.87021,                0.66772,                 0.4197,                0.87295,             6.9384e-05,             6.9384e-05,             6.9384e-05
                    149,                0.43435,                0.41762,                0.85528,                0.93343,                0.96749,                  0.995,                0.87021,                0.66772,                 0.4197,                0.87295,             6.5856e-05,             6.5856e-05,             6.5856e-05
